Time,Drone ID,Px,Py,Pz,Vx,Vy,Vz,Tz
0.0,0,14.375505738261595,10.833832619051782,2.222385858883942,0.0,0.0,0.5434415323294118,96.53122984941177
0.0,1,3.582018388567796,16.269683283129922,3.4629242385006234,0.0,0.0,0.500007487127007,90.01612306905105
0.0,2,10.53940925410685,19.39829426310181,2.275303595469805,0.0,0.0,0.5415887630796691,96.25331446195037
0.0,3,14.496586361096547,14.096060177472939,3.585469970439,0.0,0.0,0.49571688479834874,89.37253271975231
0.01,0,14.375503362332562,10.8341248336547,2.2339809120684277,-2.3759290320267098E-4,0.029221460291794853,1.1595053184485957,107.53325622434349
0.01,1,3.5820423987427565,16.269955674855275,3.473621168291263,0.002401017496078993,0.027239172535354194,1.0696929790639689,100.56782528796967
0.01,2,10.539405929689213,19.398576498098702,2.2867302400877634,-3.3244176366461277E-4,0.028223499689288976,1.1426644617958135,105.2846725600376
0.01,3,14.496577406682965,14.096329995126533,3.5960491473535416,-8.954413581428486E-4,0.02698176535937737,1.0579176914541475,99.44426437532947
0.02,0,14.375492607354415,10.83542909495308,2.2531362524337393,-0.0010754978147812324,0.13042612983787247,1.9155340365311306,128.65120877606998
0.02,1,3.582151406496631,16.271174876698286,3.4913544927376767,0.010900775387443436,0.12192018430119762,1.7733324446413623,120.77485843242178
0.02,2,10.539391186998667,19.399811866867505,2.3053283544706296,-0.001474269054522549,0.12353687688032658,1.8598114382866213,122.81557936598037
0.02,3,14.496536931691802,14.09753261999104,3.613530823021175,-0.004047499116384807,0.12026248645065635,1.7481675667633356,118.76406483466904
0.03,0,14.375665709713811,10.838803148794188,2.2812559649756716,0.017310235939571626,0.33740538411081455,2.811971254193215,149.8636894566189
0.03,1,3.5826356768630103,16.274292837115848,3.517455476969107,0.048427036637940166,0.3117960417563275,2.610098423143004,140.88456326417452
0.03,2,10.539538655081069,19.40295883573854,2.332252636284801,0.014746808240170425,0.3146968871035542,2.6924281814171223,140.27947375723247
0.03,3,14.496613001764564,14.10065045612383,3.639202054007893,0.007607007276109255,0.31178361327915666,2.5671230986717806,138.20796329961945
0.04,0,14.376446171213688,10.845626897141992,2.3195716408943885,0.0780461499876346,0.6823748347803502,3.831567591871691,168.51684490261007
0.04,1,3.5840491862935764,16.280510878721252,3.553087833950516,0.14135094305662238,0.6218041605402913,3.563235698140918,158.5076109343157
0.04,2,10.540224448296007,19.40924511246158,2.36850161495429,0.06857932149372567,0.628627672303897,3.6248978669489094,155.4239384660515
0.04,3,14.497153091911033,14.106973648716764,3.674192297454424,0.05400901464692105,0.6323192592933677,3.4990243446531144,155.31361151693446
0.05,0,14.378466827294455,10.857623733456832,2.369043151562897,0.2020656080767268,1.1996836314839718,4.947151066850857,183.11883476524935
0.05,1,3.5872023510070004,16.29130633714674,3.5991714594807136,0.3153164713424007,1.079545842548611,4.608362553019784,172.49667537145802
0.05,2,10.54200161629093,19.420174675190143,2.414827875850298,0.17771679949241972,1.092956272856477,4.632626089600792,166.8992129711722
0.05,3,14.498680909691384,14.11811620297367,3.7193775158861673,0.15278177803517162,1.1142554256906534,4.518521843174353,168.6394296471165
0.060000000000000005,0,14.382474917095923,10.876854164074734,2.430232007015606,0.40080898014679445,1.9230430617902452,6.118885545270896,191.76460197637596
0.060000000000000005,1,3.5930815417160655,16.30846113696604,3.6562757303780993,0.587919070906527,1.71547998193037,5.710427089738564,181.24635301842096
0.060000000000000005,2,10.545516487405976,19.43751193516785,2.4716357983104476,0.35148711150463435,1.7337259977708075,5.680792246014965,173.1664486800461
